model,fold,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0,0.9649,0.9944,0.9333,0.9767,0.9545,0.9266
Logistic Regression,1,0.9561,0.9974,0.975,0.907,0.9398,0.9068
Logistic Regression,2,0.9825,0.9854,1.0,0.9524,0.9756,0.9626
Logistic Regression,3,0.9825,1.0,0.9545,1.0,0.9767,0.9633
Logistic Regression,4,0.9912,0.9987,1.0,0.9762,0.988,0.9811
Logistic Regression,5,0.9825,0.999,0.9556,1.0,0.9773,0.9637
Logistic Regression,6,0.9825,0.9951,0.9767,0.9767,0.9767,0.9627
Logistic Regression,7,0.9737,0.9858,0.9756,0.9524,0.9639,0.9433
Logistic Regression,8,0.9649,0.9947,0.9524,0.9524,0.9524,0.9246
Logistic Regression,9,0.9735,0.9966,0.9756,0.9524,0.9639,0.9431
Logistic Regression,10,0.9912,0.999,1.0,0.9767,0.9882,0.9814
Logistic Regression,11,0.9737,0.9934,0.9545,0.9767,0.9655,0.9444
Logistic Regression,12,0.9649,0.9987,0.9318,0.9762,0.9535,0.926
Logistic Regression,13,0.9825,0.9888,1.0,0.9524,0.9756,0.9626
Logistic Regression,14,0.9381,0.9906,0.9268,0.9048,0.9157,0.8669
Decision Tree,0,0.9211,0.9438,0.8696,0.9302,0.8989,0.8355
Decision Tree,1,0.9474,0.9617,0.9744,0.8837,0.9268,0.8885
Decision Tree,2,0.9737,0.9762,0.9535,0.9762,0.9647,0.9439
Decision Tree,3,0.9211,0.9659,0.8511,0.9524,0.8989,0.838
Decision Tree,4,0.9469,0.969,0.95,0.9048,0.9268,0.8859
Decision Tree,5,0.9474,0.9933,0.8776,1.0,0.9348,0.8963
Decision Tree,6,0.9211,0.9674,0.8864,0.907,0.8966,0.8329
Decision Tree,7,0.9386,0.9474,0.907,0.9286,0.9176,0.8689
Decision Tree,8,0.9649,0.9845,0.9318,0.9762,0.9535,0.926
Decision Tree,9,0.885,0.922,0.8085,0.9048,0.8539,0.7628
Decision Tree,10,0.9211,0.9325,0.9048,0.8837,0.8941,0.8313
Decision Tree,11,0.9386,0.9853,0.8913,0.9535,0.9213,0.8724
Decision Tree,12,0.9737,0.9909,0.9333,1.0,0.9655,0.9458
Decision Tree,13,0.9561,0.9597,0.9512,0.9286,0.9398,0.9054
Decision Tree,14,0.9115,0.9613,0.8478,0.9286,0.8864,0.8164
kNN,0,0.9825,0.9977,1.0,0.9535,0.9762,0.963
kNN,1,0.9561,0.9826,1.0,0.8837,0.9383,0.9086
kNN,2,0.9474,0.982,0.9737,0.881,0.925,0.8872
kNN,3,0.9649,0.9987,0.913,1.0,0.9545,0.9286
kNN,4,0.9558,0.996,1.0,0.881,0.9367,0.9072
kNN,5,0.9649,0.9961,1.0,0.907,0.9512,0.9266
kNN,6,0.9737,0.9961,0.9762,0.9535,0.9647,0.9439
kNN,7,0.9561,0.9845,1.0,0.881,0.9367,0.9076
kNN,8,0.9737,0.9826,1.0,0.9286,0.963,0.9442
kNN,9,0.9735,0.9834,0.9756,0.9524,0.9639,0.9431
kNN,10,0.9386,0.9799,0.9737,0.8605,0.9136,0.8702
kNN,11,0.9561,0.9964,0.975,0.907,0.9398,0.9068
kNN,12,0.9912,0.9977,1.0,0.9762,0.988,0.9812
kNN,13,0.9561,0.9846,1.0,0.881,0.9367,0.9076
kNN,14,0.9558,0.9822,0.9744,0.9048,0.9383,0.9054
Naive Bayes,0,0.9561,0.9918,0.9524,0.9302,0.9412,0.9064
Naive Bayes,1,0.9123,0.9699,0.9231,0.8372,0.878,0.8122
Naive Bayes,2,0.9298,0.9888,0.9722,0.8333,0.8974,0.8504
Naive Bayes,3,0.9035,0.9848,0.8163,0.9524,0.8791,0.8062
Naive Bayes,4,0.9469,0.9886,0.95,0.9048,0.9268,0.8859
Naive Bayes,5,0.9298,0.9882,0.9268,0.8837,0.9048,0.8499
Naive Bayes,6,0.9386,0.9931,0.8913,0.9535,0.9213,0.8724
Naive Bayes,7,0.9298,0.9878,0.925,0.881,0.9024,0.8483
Naive Bayes,8,0.9386,0.9871,0.9487,0.881,0.9136,0.8675
